Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
E60MLHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E60MLHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E60MLHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E60MLHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E60MLHX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E60MLHY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E75 (1995~1996)	500323			2-stroke. From 1995 to 1996. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
F100A (1998~2005)	500364			4-stroke. From 1998 to 2005. OEM code: 67F-44352-00-00.	YAMAHA	Outboard Engines
F100D (2005~2018)	500364			4-stroke. From 2005 to 2018. OEM code: 67F-44352-00-00.	YAMAHA	Outboard Engines
F115 (2000~2001)	500371		6N6-W0078-02-00	4-stroke. Years: 2000 to 2001. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115B-PUMP	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115JB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LA (_0611)	500371			2-stroke. Year: Jun 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115LB (214)	500371			2-stroke. Year: Feb 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJR-PUMP	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRA-PUMP (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRB-PUMP (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRC-PUMP (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TJRD-PUMP (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLRY (2000)	500371		6N6-W0078-02-00	4-stroke. Year 2000. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TLRZ (2001)	500371		6N6-W0078-02-00	4-stroke. Year 2001. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXRY (2000)	500371		6N6-W0078-02-00	4-stroke. Year 2000. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115TXRZ (2001)	500371		6N6-W0078-02-00	4-stroke. Year 2001. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XA (_0611)	500371			2-stroke. Year: Jun 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F115XB (214)	500371			2-stroke. Year: Feb 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F15 (no year)	500363		63V-W0078-02-00	4-stroke. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
F150 (≥1992)	500371		61A-W0078-A4-00	4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150AET1X (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150LA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150LA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150LB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150LB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TJR-PUMP	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150XB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F150XB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F15C	500363		6AH-W0078-00-00	4-stroke. OEM code: 63V-44352-01-00. OEM kit: 6AH-W0078-00-00.	YAMAHA	Outboard Engines
F175LA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F175LA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F175LA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F175XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F175XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F175XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F2	500363		6AH-W0078-00-00	4-stroke. OEM code: 63V-44352-01-00. OEM kit: 6AH-W0078-00-00.	YAMAHA	Outboard Engines
F2.5 (no year)	500322			4-stroke. OEM code: 6L5-44352-00-00.	YAMAHA	Outboard Engines
F200 (≥1992)	500371		61A-W0078-A4-00	4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200LB (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200LB (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200LB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200LB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200LB (1212)	500371			2-stroke. Year: Dec 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XA (_0511)	500371			2-stroke. Year: May 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XB (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XB (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XB (1212)	500371			2-stroke. Year: Dec 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XCA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XCA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XCA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F200XCA (213)	500371			2-stroke. Year: Feb 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F2225XB (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225 (≥1992)	500371		61A-W0078-A4-00	4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225NCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225NCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225NCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225NCA (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225NCA2 (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225NCB (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225NCB2 (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225TLR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TLR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TLR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TURA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TURB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TURC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XA (_0511)	500371			2-stroke. Year: May 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F225XB (616)	500401			4-stroke. Year: Jun 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XB2 (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCB (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F225XCB2 (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F25 / F25A / F25B (initial impeller version)	500363		61N-W0078-11-00	4-stroke. OEM impeller: 63V-44352-01-00 (also used on 9.9/15HP from 1996 onward). Later replaced by 6H4-44352-02-00. Not valid for F25C.	YAMAHA	Outboard Engines
F25 / F25A / F25B (updated impeller version)	500385G		61N-W0078-14-00	4-stroke. OEM impeller: 6H4-44352-02-00 (replaces 63V-44352-01-00). Used until the F25C introduction (~2016/2018).	YAMAHA	Outboard Engines
F250	500371		6P2-W0078-00-00	4-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250, F250B (>=2004) + LF/LZ/Z series	500371		6P2-W0078-00-00	2-stroke or 4-stroke. Year >= 2004. OEM code: 6E5-44352-01-00. (Includes F225, LF225, LZ300, Z300, etc.)	YAMAHA	Outboard Engines
F250B	500371		6P2-W0078-00-00	4-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250BTUR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250BTUR (508)	500371			2-stroke. Year: May 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250BTXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250BTXR (508)	500371			2-stroke. Year: May 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250DET1X (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCA (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCA2 (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCB (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NCB2 (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NSB (1220)	500401		6CE-W0078-02-00	4-stroke. Year: Dec 2020. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250NSB2 (1220)	500401		6CE-W0078-02-00	4-stroke. Year: Dec 2020. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250TUR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TUR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TUR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TUR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TUR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TUR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250UA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250UA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250UCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250UCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
