Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"1444","PUMP/POMPA R30G","500166G",,,,"SHERWOOD","INBOARD_ENGINES",
"1445","PUMP/POMPA R30G-1","500166G",,,,"SHERWOOD","INBOARD_ENGINES",
"1446","PUMP/POMPA R30G-1-01","500166G",,,,"SHERWOOD","INBOARD_ENGINES",
"1447","PUMP/POMPA R40G","500103GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1448","PUMP/POMPA R50G","500103GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1449","PUMP/POMPA R991","500103GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1450","PUMP/POMPA RPBC","500120GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1451","PUMP/POMPA RPGC","500103GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1452","PUMP/POMPA S11040G","500120GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1453","PUMP/POMPA S11095G","500120GT",,,,"SHERWOOD","INBOARD_ENGINES",
"1454","PUMP/POMPA T11165","500100GX",,,,"SHERWOOD","INBOARD_ENGINES",
"1455","PUMP/POMPA T11166","500100GX",,,,"SHERWOOD","INBOARD_ENGINES",
"1456","150","500106GT",,,,"SOLE'","INBOARD_ENGINES","165HP"
"1457","MINI-11-17-23-26-34-48","500123X",,,,"SOLE'","INBOARD_ENGINES",
"1458","MINI-11","500131X",,,,"SOLE'","INBOARD_ENGINES","11HP"
"1459","MINI-17","500131X",,,,"SOLE'","INBOARD_ENGINES","16HP"
"1460","MINI-26","500131X",,,,"SOLE'","INBOARD_ENGINES","25HP"
"1461","MINI-34","500131X",,,,"SOLE'","INBOARD_ENGINES","31HP"
"1462","MINI-48","500131X",,,,"SOLE'","INBOARD_ENGINES","45HP"
"1463","MINI-50","500107GT",,,,"SOLE'","INBOARD_ENGINES",
"1464","SM-75","500106GT",,,,"SOLE'","INBOARD_ENGINES","72HP"
"1465","SM-90","500106GT",,,,"SOLE'","INBOARD_ENGINES","88HP"
"1466","HS-121","500106GT",,,,"SOLE'","INBOARD_ENGINES","115HP"
"1467","HS-270","500106GT",,,,"SOLE'","INBOARD_ENGINES","270HP"
"1468","C4/6","500106GT",,,,"VETUS","INBOARD_ENGINES",
"1469","K3/K4/3D","500146X",,,,"VETUS","INBOARD_ENGINES",
"1470","L2/L3","500146X",,,,"VETUS","INBOARD_ENGINES",
"1471","M 2.05","500146X",,,,"VETUS","INBOARD_ENGINES",
"1472","M 3.10","500146X",,,,"VETUS","INBOARD_ENGINES",
"1473","M 4.14","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1474","P 4.25","500106GT",,,,"VETUS","INBOARD_ENGINES",
"1475","STM 6514","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1476","36-22-11","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1477","42-36 SERIES/SERIE","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1478","43D","500146X",,,,"VETUS","INBOARD_ENGINES",
"1479","52-34 SERIES/SERIE","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1480","DT43","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1481","DTA43","500107GT",,,,"VETUS","INBOARD_ENGINES",
"1482","DT64","500106GT",,,,"VETUS","INBOARD_ENGINES",
"1483","DTA64","500106GT",,,,"VETUS","INBOARD_ENGINES",
"1484","DT67","500106GT",,,,"VETUS","INBOARD_ENGINES",
"1485","DTA67","500106GT",,,,"VETUS","INBOARD_ENGINES",
"1486","3.0GL, 3.0GS, 3.0GLM-A/B/C","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1487","3.0GLM-A/B/C","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1488","3.0GLP-A/B/C","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1489","3.0GLP-D, 3.0GLP-E","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1490","3.0GLP-J, 3.0GLP-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1491","3.0GSM-A/B/C","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1492","3.0GSMBY","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1493","3.0GSMLKD, 3.0GSPLKD","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1494","3.0GSMNCA, 3.0GSMNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1495","3.0GSMWTR, 3.0GSMWTS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1496","3.0GSP-A/B/C","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1497","3.0GSPBY","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1498","3.0GSPNCA, 3.0GSPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1499","3.0GSPWTR, 3.0GSPWTS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1500","4,3L, GL,GS, GI, GXI, OSI","500534",,,"EXHAUST BELLOW/SOFFIETTO SCARICO","VOLVO-PENTA","INBOARD_ENGINES",
"1501","4.3GIJBYA, 4.3GIJWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1502","4.3GIPBYCCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1503","4.3GIPEFS","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1504","4.3GIPEFS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1505","4.3GIPHUSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1506","4.3GIPLKDCE, 4.3GIPLKECE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1507","4.3GIPNCACE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1508","4.3GIPNCBCE, 4.3GIPNCMCE, 4.3GIPNCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1509","4.3GIPWTC, 4.3GIPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1510","4.3GL-A/B/C/D, 4.3GS, 4.GI","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1511","4.3GL-E, 4.3GL-EF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1512","4.3GL-G, 4.3GL-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1513","4.3GLMMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1514","4.3GLPBYC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1515","4.3GLPEFS","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1516","4.3GLPHUB","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1517","4.3GLPLKD, 4.3GLPLKE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1518","4.3GLPMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1519","4.3GLPNCA, 4.3GLPNCB, 4.3GLPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1520","4.3GLPWTC, 4.3GLPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1521","4.3GL-J, 4.3GL-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1522","4.3GSJBYA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1523","4.3GSJLKD, 4.3GSJWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1524","4.3GSJNCC, 4.3GSJNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1525","4.3GSPBYC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1526","4.3GSPHUB, 4.3GSPHUS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1527","4.3GSPLKD, 4.3GSPLKE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1528","4.3GSPMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1529","4.3GSPNCA, 4.3GSPNCB","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1530","4.3GSPNCM, 4.3GSPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1531","4.3GSPWTC, 4.3GSPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1532","4.3GXI-A/B/C/D/E/BF/CF/DF/EF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1533","4.3GXI-F, 4.3GXI-FF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1534","4.3GXI-G, 4.3GXI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1535","4.3GXI-J, 4.3GXI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1536","4.3GXIE-M","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1537","4.3OSI-B/C/D/E/BF/CF/DF/EF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1538","4.3OSI-G, 4.3OSI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1539","4.3OSI-F, 4.3OSI-FF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1540","4.3OSI-J, 4.3OSI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1541","5.0FIPHUBCE, 5.0FIPHUCCE, 5.0FIPHUECE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1542","5.0FIPHURCE, 5.0FIPHUSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1543","5.0FIPMDA, 5.0FIPMDM","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1544","5.0FIPNCACE, 5.0FIPNCBCE, 5.0FIPNCMCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1545","5.0FIPNCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1546","5.0FL, 5.0FI, 5.0GI","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1547","5.0FLPHUB, 5.0FLPHUC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1548","5.0FLPHUE, 5.0FLPHUR, 5.0FLPHUS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1549","5.0FLPMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1550","5.0FLPNCA, 5.0FLPNCB","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1551","5.0FLPNCM, 5.0FLPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1552","5.0GIPBYCCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1553","5.0GIPEFS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1554","5.0GIPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1555","5.0GL-A/B/C/D/E","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1556","5.0GL-F, 5.0GL-FF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1557","5.0GL-H, 5.0GL-HP","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1558","5.0GL-J, 5.0GL-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1559","5.0GLPBYC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1560","5.0GLPEFS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1561","5.0GLPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1562","5.0GXI-A/B/C/BF/CF/D/DF/E/EF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1563","5.0GXI-F, 5.0GXI-FF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1564","5.0GXI-G, 5.0GXI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1565","5.0GXI-J, 5.0GXI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1566","5.0GXI-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1567","5.0GXICE-J, 5.0GXICE-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1568","5.0GXICE-M, 5.0GXICE-MF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1569","5.0GXIE-J, 5.0GXIE-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1570","5.0GXIE-K, 5.0GXIE-KF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1571","5.0GXIE-M, 5.0GXIE-MF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1572","5.0GXIE-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1573","5.0L, FI, GL, FL, GXI, OSI","500534",,,"EXHAUST BELLOW/SOFFIETTO SCARICO","VOLVO-PENTA","INBOARD_ENGINES",
"1574","5.0OSI-B/C/D/E/BF/CF/DF/EF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1575","5.0OSIE-J","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1576","5.0OSIE-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1577","5.0OSI-F, 5.0OSI-FF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1578","5.0OSI-G, 5.0OSI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1579","5.0OSI-J, 5.0OSI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1580","5,7L, GI, GIL, OSI, GXI, OSXI","500534",,,"EXHAUST BELLOW/SOFFIETTO SCARICO","VOLVO-PENTA","INBOARD_ENGINES",
"1581","5.7GI-300-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1582","5.7GI-A/B/C/D/E/BF/CF/DF/EF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1583","5.7GI-G, 5.7GI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1584","5.7GI-F, 5.7GI-FF, 5.7GXI-G, 5.7GXI-GF,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1585","5.7GIC-300-J, 5.7GIC-300-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1586","5.7GICE-300-J, 5.7GICE-300-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1587","5.7GICE-300-M, 5.7GICE-300-MF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1588","5.7GIE-300-J, 5.7GIE-300-JF,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1589","5.7GIE-300-K, 5.7GIE-300-KF,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1590","5.7GIE-300-M, 5.7GIE-300-MF,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1591","5.7GIE-300-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1592","5.7GII-A/C/D/E","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1593","5.7GII-F","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1594","5.7GII-G","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1595","5.7GI-300-J, 5.7GI-300-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1596","5.7GIIMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1597","5.7GIINCCCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1598","5.7GIINCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1599","5.7GIPHUS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1600","5.7GIPLKDCE, 5.7GIPLKECE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1601","5.7GIPMDA, 5.7GIPMDACE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1602","5.7GIPNCMCE, 5.7GIPNCBCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1603","5.7GIPNCSCE, 5.7GIPNCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1604","5.7GL-A//B/C/D/E","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1605","5.7GLIMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1606","5.7GLIPLKDCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1607","5.7GLPLKA, 5.7GLPLKD, 5.7GLPLKE, 5.7GLPLKR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1608","5.7GLPMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1609","5.7GLPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1610","5.7GSICPLKD","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1611","5.7GSII-A, 5.7GXI-A/B/D/DF/E/EF/F/FF","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1612","5.7GSIPBYCCE, 5.7GSIPBYDCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1613","5.7GSIPEFS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1614","5.7GSIPLKDCE, 5.7GSIPLKE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1615","5.7GSIPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1616","5.7GSPBYC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1617","5.7GSPEFS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1618","5.7GSPLKD, 5.7GSPLKE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1619","5.7GSPWTR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1620","5.7GXI-C/D/E/F/CF/DF/EF/FF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1621","5.7GXI-J, 5.7GXI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1622","5.7GXI-H, 5.7GXI-HF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1623","5.7GXI-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1624","5.7GXIC-J, 5.7GXIC-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1625","5.7GXICE-J, 5.7GXICE-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1626","5.7GXICE-M, 5.7GXICE-MF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1627","5.7GXIE-J, 5.7GXIE-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1628","5.7GXIE-K, 5.7GXIE-KF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1629","5.7GXIE-M, 5.7GXIE-MF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1630","5.7GXIE-N","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1631","5.7GXII-A/B/C/D/E/F","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1632","5.7GXII-G","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1633","5.7GXII-H","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1634","5.7OSI-A/B/C/D/DAF/BF/CF/DF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1635","5.7OSI-E, 5.7OSI-EF, 5.7OSXI-E, 5.7OSXI-EF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1636","5.7OSI-300-J, 5.7OSI-300-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1637","5.7OSI-G, 5.7OSI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1638","5.7OSIE-300-J, 5.7OSIE-300-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1639","5.7OSXI-A/B/C/D/AF/BF/CF/DF","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1640","5.7OSXI-E, 5.7OSXI-EF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1641","5.7OSXI-G, 5.7OXI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1642","5.7OSXI-J, 5.7OXI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1643","5.7OSXIE-J, 5.7OSXIE-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1644","5.7GS, 5.7GSI, 5.8FL, 5.8FSI","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1645","5.8FI, 500A, 500B, 501A, 501B, 570A","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1646","5.8FIIHUBCE, 5.8FIIHUECE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1647","5.8FIPHUBCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1648","5.8FIPHUCCE, 5.8FIPHUECE, 5.8FIPHURCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1649","5.8FIPHUSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1650","5.8FIPMDA, 5.8FIPMDM","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1651","5.8FIPNCACE, 5.8FIPNCBCE, 5.8FIPNCMCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1652","5.8FIPNCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1653","5.8FLIHUB, 5,8FLIHUE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1654","5.8FLINCC, 5.8FLINCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1655","5.8FLPHUC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1656","5.8FLPHUE, 5.8FLPHUR","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1657","5.8FLPMDA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1658","5.8FLPNCA","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1659","5.8FLPNCB, 5.8FLPNCM, 5.8FLPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1660","5.8FSIINCC","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1661","5.8FSIINCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1662","5.8FSIPHUBCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1663","5.8FSIPHUCCE, 5.8FSIPHUECE, 5.8FSIPHURCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1664","5.8FSIPHUSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1665","5.8FSIPNCACE, 5.8FSIPNCD","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1666","5.8FSIPNCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1667","5.8L, FL, FI, FSI","500534",,,"EXHAUST BELLOW/SOFFIETTO SCARICO","VOLVO-PENTA","INBOARD_ENGINES",
"1668","7.45GI","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1669","7.4GIIHUBCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1670","7.4GIINCCCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1671","7.4GIINCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1672","7.4GIPBYCCE, 7.4GIPBYDCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1673","7.4GIPEFS","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1674","7.4GIPLKDCE, 7.4GIPLKECE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1675","7.4GIPNCACE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1676","7.4GIPNCBCE, 7.4GIPNCMCE, 7.4GIPNCSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1677","7.4GIPWTR","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1678","7.4GLIHUB, 7.4GLIHUB","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1679","7.4GLIMDA,7.4GLIMDM","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1680","7.4GLINCC, 7.4GLINCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1681","7.4GLPHUS, 7.4GIPHUSCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1682","7.4GLPLKD, 7.4GLPLKE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1683","7.4GLPMDA, 7.4GLPMDM","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1684","7.4GLPNCA, 7.4GLPNCS, 7.4GLPNCM, 7.4GLPNCB","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1685","7.4GSI,","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1686","7.4GSIINCC, 7.4GSIINCS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1687","7.4GSIPBYCCE","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1688","7.4GSIPEFS","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1689","7.4GSIPWTR","500189GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1690","7.4GSIXHUS","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1691","7.4GSIXNCB, 7.4GSIXNCM","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1692","7.4L, GL, GI","500534",,,"EXHAUST BELLOW/SOFFIETTO SCARICO","VOLVO-PENTA","INBOARD_ENGINES",
"1693","8,1L, GI, GXI, OSI","500534",,,"EXHAUST BELLOW/SOFFIETTO SCARICO","VOLVO-PENTA","INBOARD_ENGINES",
"1694","8.1GI-A/B/BF/C/CF/D/DF/E/EF/F/FF","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1695","8.1GI-G, 8.1GI-GF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1696","8.1GI-H, 8.1GI-HF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1697","8.1GI-J, 8.1GI-JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1698","8.1GIC-400-J, 8.1GIC-400JF, 8.1GIC-400-Q","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1699","8.1GICE-400-J, 8.1GICE-400JF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1700","8.1GICE-400-M, 8.1GICE-400MF","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1701","8.1GII-A/B/C/E/F","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"1702","8.1GII-G","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
